buy_date,buy_price,sell_date,sell_price,return
2000-10-30,140.53125,2000-11-24,134.84375,-0.040471425394707584
2004-08-18,110.02999877929688,2004-09-13,113.43000030517578,0.03090067766608616
2006-07-19,125.69000244140625,2006-08-14,127.11000061035156,0.011297622256052405
2007-12-21,148.1300048828125,2008-01-15,138.1699981689453,-0.06723827979177259
2010-07-06,102.87000274658203,2010-07-30,110.2699966430664,0.07193539125991953
2011-08-12,118.12000274658203,2011-09-06,116.98999786376953,-0.009566583614435263
2015-08-28,199.27999877929688,2015-09-22,193.91000366210938,-0.026946984896034566
2016-01-11,192.11000061035156,2016-02-05,187.9499969482422,-0.021654279573643492
2018-12-07,263.57000732421875,2018-12-31,249.9199981689453,-0.05178893188132174
2020-03-30,261.6499938964844,2020-04-24,282.9700012207031,0.0814829268929909
2022-03-14,417.0,2022-04-08,447.57000732421875,0.07330937008205936
