buy_date,buy_price,sell_date,sell_price,return
2003-01-24,24.81999969482422,2003-02-18,25.25,0.017324750623000627
2003-03-03,24.649999618530273,2003-03-28,26.079999923706055,0.05801218366351615
2004-11-09,37.91999816894531,2004-12-03,40.130001068115234,0.0582806699864192
2005-07-18,38.72999954223633,2005-08-12,39.209999084472656,0.012393481743083239
2006-10-24,42.13999938964844,2006-11-17,44.29999923706055,0.051257709508716956
2008-06-25,47.56999969482422,2008-07-21,44.779998779296875,-0.05865042954437743
2009-06-01,36.38999938964844,2009-06-26,36.369998931884766,-0.0005496141274836416
2010-09-28,49.369998931884766,2010-10-22,51.63999938964844,0.045979349946828355
2011-12-08,56.119998931884766,2012-01-03,56.900001525878906,0.013898834797571237
2013-01-28,67.1500015258789,2013-02-22,67.13999938964844,-0.00014895213705414483
2015-11-17,111.48999786376953,2015-12-11,110.79000091552734,-0.006278562755894202
2016-05-09,105.87999725341797,2016-06-03,110.05999755859375,0.03947865898760065
2016-07-15,111.80000305175781,2016-08-09,116.91999816894531,0.045796019476110374
2019-04-02,182.72999572753906,2019-04-26,190.64999389648438,0.04334262766992281
2020-05-21,228.8699951171875,2020-06-15,238.75,0.043168633257293844
2023-03-13,290.69000244140625,2023-04-06,318.04998779296875,0.09412083360891434
