buy_date,buy_price,sell_date,sell_price,return_%
2015-03-16,208.5800018310547,2015-03-25,205.75999450683594,-1.3520027325068753
2015-03-30,208.25,2015-03-31,206.42999267578125,-0.8739530968637456
2015-04-06,207.8300018310547,2015-04-07,207.27999877929688,-0.2646408347746207
2015-04-08,207.97999572753906,2015-04-17,207.9499969482422,-0.014423877254125165
2015-04-20,209.85000610351562,2015-04-30,208.4600067138672,-0.6623775788516171
2015-05-01,210.72000122070312,2015-05-05,208.89999389648438,-0.8637088618429333
2015-05-08,211.6199951171875,2015-06-05,209.77000427246094,-0.8742041808015848
2015-06-10,210.9499969482422,2015-06-12,210.00999450683594,-0.4456043872979458
2015-06-18,212.77999877929688,2015-06-24,210.5,-1.0715287115222576
2015-07-14,210.67999267578125,2015-07-23,210.17999267578125,-0.23732675972201017
2015-07-29,210.77000427246094,2015-08-03,209.7899932861328,-0.4649670097559383
2015-08-05,210.07000732421875,2015-08-06,208.35000610351562,-0.8187752466959751
2015-08-10,210.57000732421875,2015-08-11,208.6699981689453,-0.9023170865677733
2015-08-17,210.58999633789062,2015-08-19,208.32000732421875,-1.077918729828785
2015-10-08,201.2100067138672,2015-12-11,201.8800048828125,0.33298451696693715
2015-12-16,208.02999877929688,2015-12-17,204.86000061035156,-1.5238178087519128
2015-12-29,207.39999389648438,2015-12-30,205.92999267578125,-0.7087759228367282
2016-02-25,195.5399932861328,2016-02-29,193.55999755859375,-1.0125783959917312
2016-03-01,198.11000061035156,2016-05-13,204.75999450683594,3.356717922364643
2016-05-16,206.77999877929688,2016-05-17,204.85000610351562,-0.9333555891163317
2016-05-24,207.8699951171875,2016-06-15,207.75,-0.05772604031661823
2016-06-16,208.3699951171875,2016-06-17,206.52000427246094,-0.8878393665489726
2016-06-21,208.44000244140625,2016-06-24,203.24000549316406,-2.4947212086624004
2016-06-30,209.47999572753906,2016-09-09,213.27999877929688,1.8140171516426324
2016-09-22,217.17999267578125,2016-09-23,215.99000549316406,-0.547926707223749
2016-11-09,216.3800048828125,2017-04-12,234.02999877929688,8.156943108511017
2017-04-24,237.1699981689453,2017-05-17,235.82000732421875,-0.5692081018463863
2017-05-18,236.77000427246094,2017-07-06,240.5500030517578,1.596485496932743
2017-07-07,242.11000061035156,2017-08-10,243.75999450683594,0.681505882584277
2017-08-14,246.5399932861328,2017-08-17,243.08999633789062,-1.3993660429113997
2017-08-22,245.44000244140625,2017-08-23,244.55999755859375,-0.3585417511648628
2017-08-29,244.85000610351562,2018-02-05,263.92999267578125,7.792520358034685
2018-02-15,273.0299987792969,2018-02-20,271.3999938964844,-0.5970057832839498
2018-02-23,274.7099914550781,2018-02-28,271.6499938964844,-1.11390107887435
2018-03-08,274.1000061035156,2018-03-16,274.20001220703125,0.036485261323875
2018-04-17,270.19000244140625,2018-04-20,266.6099853515625,-1.3249998362245534
2018-05-09,269.5,2018-06-25,271.0,0.5565862708719851
2018-06-26,271.6000061035156,2018-06-27,269.3500061035156,-0.8284241345497068
2018-07-02,271.8599853515625,2018-07-03,270.8999938964844,-0.3531198068140437
2018-07-05,273.1099853515625,2018-10-09,287.3999938964844,5.232327381412647
2018-12-03,279.29998779296875,2018-12-04,270.25,-3.2402392368441695
2019-01-17,262.9599914550781,2019-05-13,280.8599853515625,6.807116853569818
2019-05-16,287.70001220703125,2019-05-17,285.8399963378906,-0.6465122663262671
2019-06-07,287.6499938964844,2019-08-05,283.82000732421875,-1.3314745883999253
2019-08-08,293.6199951171875,2019-08-09,291.6199951171875,-0.6811525213743616
2019-09-04,294.0400085449219,2019-10-01,293.239990234375,-0.27207804628554566
2019-10-04,294.3500061035156,2019-10-07,293.0799865722656,-0.43146577371001155
2019-10-11,296.2799987792969,2020-02-24,322.4200134277344,8.822740230908927
2020-04-17,286.6400146484375,2020-04-20,281.5899963378906,-1.7617980925449983
2020-04-24,282.9700012207031,2020-09-18,330.6499938964844,16.84984007848702
2020-10-01,337.0400085449219,2020-10-02,333.8399963378906,-0.9494458004693354
2020-10-05,339.760009765625,2020-10-06,334.92999267578125,-1.4215967009112158
2020-10-07,340.760009765625,2020-10-26,339.3900146484375,-0.40204104881021213
2020-11-04,343.5400085449219,2021-01-29,370.07000732421875,7.72253540181995
2021-02-01,376.2300109863281,2021-03-04,376.70001220703125,0.12492390478658663
2021-03-05,383.6300048828125,2021-06-18,414.9200134277344,8.156298555030919
2021-06-21,420.8599853515625,2021-09-17,441.3999938964844,4.880485021108367
2021-09-23,443.17999267578125,2021-09-27,442.6400146484375,-0.12184169779044687
2021-10-15,445.8699951171875,2021-12-01,450.5,1.0384203766830287
2021-12-02,457.3999938964844,2021-12-20,454.9800109863281,-0.5290736647241678
2021-12-21,463.05999755859375,2022-01-07,466.0899963378906,0.6543425895719854
2022-01-11,469.75,2022-01-13,464.5299987792969,-1.11122963719066
2022-03-18,444.5199890136719,2022-04-11,439.9200134277344,-1.0348186132516126
2022-04-13,443.30999755859375,2022-04-14,437.7900085449219,-1.2451758462637152
2022-04-19,445.0400085449219,2022-04-21,438.05999755859375,-1.5684007847181158
2022-07-19,392.2699890136719,2022-07-26,390.8900146484375,-0.3517919810037465
2022-07-27,401.0400085449219,2022-08-30,398.2099914550781,-0.7056695166429386
2022-09-09,406.6000061035156,2022-09-13,393.1000061035156,-3.320216379082655
2022-10-28,389.0199890136719,2022-11-02,374.8699951171875,-3.6373436574198976
2022-11-07,379.95001220703125,2022-11-09,374.1300048828125,-1.531782375900407
2022-11-10,394.69000244140625,2022-12-16,383.2699890136719,-2.8934134021876408
