buy_date,buy_price,sell_date,sell_price,return
2003-02-12,23.81999969482422,2003-03-10,24.010000228881836,0.007976512866996462
2004-07-21,34.400001525878906,2004-08-16,32.88999938964844,-0.04389540898986599
2005-04-26,35.04999923706055,2005-05-20,37.65999984741211,0.07446506896330675
2006-06-14,37.630001068115234,2006-07-10,37.36000061035156,-0.007175138190268335
2008-02-01,45.59000015258789,2008-02-26,44.06999969482422,-0.03334065480755191
2008-07-09,44.75,2008-08-04,44.43000030517578,-0.007150831169256285
2010-07-21,44.63999938964844,2010-08-16,44.79999923706055,0.0035842260214997163
2011-08-17,53.58000183105469,2011-09-12,53.86000061035156,0.005225807572380283
2012-12-13,65.30999755859375,2013-01-07,66.6500015258789,0.02051759328398311
2015-09-30,101.76000213623047,2015-10-26,112.8499984741211,0.10898187996344548
2016-02-04,101.6500015258789,2016-02-29,102.5,0.008362011425102577
2016-06-28,104.45999908447266,2016-07-22,113.6500015258789,0.08797628299780723
2018-12-03,172.3300018310547,2018-12-28,152.97000122070312,-0.11234260085096104
2020-04-29,219.0,2020-05-22,229.66000366210938,0.04867581580871861
2022-03-01,341.489990234375,2022-03-25,359.3500061035156,0.05230026173500064
