buy_date,buy_price,sell_date,sell_price,return
2000-10-16,138.1875,2000-11-10,136.625,-0.011307100859339666
2003-05-15,95.11000061035156,2003-06-09,98.25,0.033014397744696125
2004-11-05,117.27999877929688,2004-11-30,117.88999938964844,0.0052012330891944404
2006-09-11,130.41000366210938,2006-10-06,135.00999450683594,0.035273297412406174
2009-06-23,89.3499984741211,2009-07-17,94.12999725341797,0.05349746906466183
2010-10-22,118.3499984741211,2010-11-16,118.16000366210938,-0.0016053638737753243
2012-01-31,131.32000732421875,2012-02-24,136.92999267578125,0.04271995917356209
2015-12-17,204.86000061035156,2016-01-11,192.11000061035156,-0.06223762551016874
2016-04-25,208.61000061035156,2016-05-20,205.49000549316406,-0.014956114798231206
2019-04-01,285.8299865722656,2019-04-26,293.4100036621094,0.026519320735885473
2020-07-09,314.3800048828125,2020-08-03,328.7900085449219,0.04583626006202529
2023-02-02,416.7799987792969,2023-02-27,397.7300109863281,-0.04570753838659265
