buy_date,buy_price,sell_date,sell_price,return
2000-12-14,1.7317709922790527,2001-01-08,1.6927080154418945,-0.022556664253713117
2002-04-24,2.706666946411133,2002-05-20,3.2991669178009033,0.21890390769185236
2004-07-01,1.627500057220459,2004-07-26,1.1841670274734497,-0.27240123757916157
2006-07-20,3.201667070388794,2006-08-14,3.880000114440918,0.21186870125435958
2007-04-25,5.5183329582214355,2007-05-21,5.855000019073486,0.06100883426225135
2008-02-07,6.137499809265137,2008-03-03,5.284999847412109,-0.1389002017671916
2010-06-03,3.174999952316284,2010-06-28,2.7750000953674316,-0.1259842088051174
2011-07-15,3.5250000953674316,2011-08-09,3.2325000762939453,-0.08297872657021796
2012-05-04,3.065000057220459,2012-05-29,3.180000066757202,0.03752039392815954
2015-07-29,4.992499828338623,2015-08-24,5.177499771118164,0.03705557318789218
2018-11-13,49.82749938964844,2018-12-07,36.90250015258789,-0.25939490031373497
2022-04-20,214.82000732421875,2022-05-16,172.63999938964844,-0.19635046316198013
