buy_date,buy_price,sell_date,sell_price,return
2000-10-16,2.6510419845581055,2000-11-10,2.4505209922790527,-0.07563855776221401
2001-04-24,3.189167022705078,2001-05-18,3.5958330631256104,0.12751481422117386
2003-04-10,1.1166670322418213,2003-05-05,1.3574999570846558,0.2156712053720599
2004-12-23,1.9225000143051147,2005-01-18,1.8208329677581787,-0.05288272862961901
2006-09-12,4.811666965484619,2006-10-06,5.15500020980835,0.07135432414307809
2007-06-05,6.0183329582214355,2007-06-29,6.885000228881836,0.14400454024008033
2009-04-17,2.940000057220459,2009-05-12,2.244999885559082,-0.23639461161046557
2010-12-16,3.572499990463257,2011-01-10,5.15749979019165,0.4436668450551519
2012-03-01,3.8125,2012-03-26,3.680000066757202,-0.03475408085056993
2013-05-09,3.4774999618530273,2013-06-03,3.612499952316284,0.038820989775459405
2015-09-15,5.735000133514404,2015-10-09,6.517499923706055,0.13644285474709048
2019-08-22,42.869998931884766,2019-09-16,45.0525016784668,0.050909792417997576
2023-01-24,192.64999389648438,2023-02-17,213.8800048828125,0.11019990479592508
